"batch","path","status","error"
"admin-panel","admin-panel/pages/store-settings/content.phtml","pass",""
"admin-panel","admin-panel/pages/system_status/content.phtml","pass",""
"admin-panel","admin-panel/pages/upload-to-storage/content.phtml","pass",""
"admin-panel","admin-panel/pages/user_reports/content.phtml","pass",""
"admin-panel","admin-panel/pages/user_reports/list.phtml","pass",""
"admin-panel","admin-panel/pages/verfiy-applications/content.phtml","pass",""
"admin-panel","admin-panel/pages/video-settings/content.phtml","pass",""
"admin-panel","admin-panel/pages/website_mode/content.phtml","pass",""
"admin-panel","admin-panel/search-result.php","pass",""
"api","api/phone/accept_decline_request.php","pass",""
"api","api/phone/agora/call_agora_actions.php","pass",""
"api","api/phone/agora/check_agora_for_answer.php","pass",""
"api","api/phone/agora/create_agora_call.php","pass",""
"api","api/phone/audio_call_answer.php","pass",""
"api","api/phone/block_user.php","pass",""
"api","api/phone/change_color.php","pass",""
"api","api/phone/check-hash.php","pass",""
"api","api/phone/check_for_answer.php","pass",""
"api","api/phone/core/functions.php","pass",""
"api","api/phone/create_audio_call.php","pass",""
"api","api/phone/create_event.php","pass",""
"api","api/phone/create_group.php","pass",""
"api","api/phone/create_page.php","pass",""
"api","api/phone/create_story.php","pass",""
"api","api/phone/create_video_call.php","pass",""
"api","api/phone/delete_messages.php","pass",""
"api","api/phone/delete_story.php","pass",""
"api","api/phone/find_nearby.php","pass",""
"api","api/phone/follow_user.php","pass",""
"api","api/phone/get_albums.php","pass",""
"api","api/phone/get_blocked_users.php","pass",""
"api","api/phone/get_blogs.php","pass",""
"api","api/phone/get_events.php","pass",""
"api","api/phone/get_group_data.php","pass",""
"api","api/phone/get_movies.php","pass",""
"api","api/phone/get_multi_users.php","pass",""
"api","api/phone/get_my_community.php","pass",""
"api","api/phone/get_news_feed.php","pass",""
"api","api/phone/get_notifications.php","pass",""
"api","api/phone/get_page_data.php","pass",""
"api","api/phone/get_post_data.php","pass",""
"api","api/phone/get_products.php","pass",""
"api","api/phone/get_push_notifications.php","pass",""
"api","api/phone/get_settings.php","pass",""
"api","api/phone/get_stories.php","pass",""
"api","api/phone/get_suggestions.php","pass",""
"api","api/phone/get_user_data.php","pass",""
"api","api/phone/get_user_friends.php","pass",""
"api","api/phone/get_user_list_info.php","pass",""
"api","api/phone/get_user_messages.php","pass",""
"api","api/phone/get_user_posts_friends.php","pass",""
"api","api/phone/get_users_list.php","pass",""
"api","api/phone/go_to_event.php","pass",""
"api","api/phone/insert_new_message.php","pass",""
"api","api/phone/interested_in_event.php","pass",""
"api","api/phone/join_group.php","pass",""
"api","api/phone/like_page.php","pass",""
"api","api/phone/login-with.php","pass",""
"api","api/phone/login.php","pass",""
"api","api/phone/logout.php","pass",""
"api","api/phone/new_post.php","pass",""
"api","api/phone/new_product.php","pass",""
"api","api/phone/post_manager.php","pass",""
"api","api/phone/register_typing.php","pass",""
"api","api/phone/register_user.php","pass",""
"api","api/phone/remove_typing.php","pass",""
"api","api/phone/reset_pass.php","pass",""
"api","api/phone/search_public_users.php","pass",""
"api","api/phone/set_cookie.php","pass",""
"api","api/phone/update_group.php","pass",""
"api","api/phone/update_page.php","pass",""
"api","api/phone/update_profile_picture.php","pass",""
"api","api/phone/update_user_data.php","pass",""
"api","api/phone/update_user_lastseen.php","pass",""
"api","api/phone/video_call_answer.php","pass",""
"api","api/v2/endpoints/Exceptions/exceptions.php","pass",""
"api","api/v2/endpoints/aamarpay.php","pass",""
"api","api/v2/endpoints/active_account_sms.php","pass",""
"api","api/v2/endpoints/add-to-family.php","pass",""
"api","api/v2/endpoints/address.php","pass",""
"api","api/v2/endpoints/admob.php","pass",""
"api","api/v2/endpoints/ads.php","pass",""
"api","api/v2/endpoints/agora.php","pass",""
"api","api/v2/endpoints/ai.php","pass",""
"api","api/v2/endpoints/albums.php","pass",""
"api","api/v2/endpoints/auth.php","pass",""
"api","api/v2/endpoints/authorize.php","pass",""
"api","api/v2/endpoints/bank.php","pass",""
"api","api/v2/endpoints/block-user.php","pass",""
"api","api/v2/endpoints/blogs.php","pass",""
"api","api/v2/endpoints/boost_page.php","pass",""
"api","api/v2/endpoints/braintree.php","pass",""
"api","api/v2/endpoints/broadcast.php","pass",""
"api","api/v2/endpoints/cashfree.php","pass",""
"api","api/v2/endpoints/change-chat-color.php","pass",""
"api","api/v2/endpoints/chat.php","pass",""
"api","api/v2/endpoints/check_type.php","pass",""
"api","api/v2/endpoints/check_username.php","pass",""
"api","api/v2/endpoints/checkout.php","pass",""
"api","api/v2/endpoints/coinbase.php","pass",""
"api","api/v2/endpoints/coinpayments.php","pass",""
"api","api/v2/endpoints/comments.php","pass",""
"api","api/v2/endpoints/common_things.php","pass",""
"api","api/v2/endpoints/create-account.php","pass",""
"api","api/v2/endpoints/create-event.php","pass",""
"api","api/v2/endpoints/create-group.php","pass",""
"api","api/v2/endpoints/create-page.php","pass",""
"api","api/v2/endpoints/create-product.php","pass",""
"api","api/v2/endpoints/create-story.php","pass",""
"api","api/v2/endpoints/delete-access-token.php","pass",""
"api","api/v2/endpoints/delete-conversation.php","pass",""
"api","api/v2/endpoints/delete-story.php","pass",""
"api","api/v2/endpoints/delete-user.php","pass",""
"api","api/v2/endpoints/delete_group.php","pass",""
"api","api/v2/endpoints/delete_group_member.php","pass",""
"api","api/v2/endpoints/delete_message.php","pass",""
"api","api/v2/endpoints/delete_page.php","pass",""
"api","api/v2/endpoints/download_info.php","pass",""
"api","api/v2/endpoints/edit-product.php","pass",""
"api","api/v2/endpoints/events.php","pass",""
"api","api/v2/endpoints/fav_message.php","pass",""
"api","api/v2/endpoints/fetch-pro-users.php","pass",""
"api","api/v2/endpoints/fetch-recommended.php","pass",""
"api","api/v2/endpoints/fluttewave.php","pass",""
"api","api/v2/endpoints/follow-request-action.php","pass",""
